Transaction_ID,Items_Purchased,Date,Amount
1043,bread; butter; milk,03-04-2023,60.0
1026,"eggs, cheese, bread",2023/4/3,45.0
1031,,2023/4/3,60.0
1020,"eggs, cheese, bread",2023-04-05,25.0
1007,"Milk , Bread",,60.0
1071,"milk, bread, eggs",2023/4/3,25.0
1049,"milk, , eggs",,40.0
1066,"eggs, cheese, bread",2023-04-05,
1043,bread; butter; milk,03-04-2023,60.0
1057,"eggs, cheese, bread",03-04-2023,45.0
1002,"milk, , eggs",03-04-2023,40.0
1085,"eggs, cheese, bread",2023/4/3,40.0
1069,"milk, bread, eggs",03-04-2023,60.0
1001,"eggs, cheese, bread",03-04-2023,25.0
1086,"Milk , Bread",2023-04-05,
1043,bread; butter; milk,2023-04-05,25.0
1001,bread; butter; milk,2023/4/3,60.0
1080,"milk, , eggs",2023-04-05,
1034,"Milk , Bread",03-04-2023,
1097,"milk, bread, eggs",,25.0
1086,"eggs, cheese, bread",2023/4/3,
1029,"MILK, BREAD, EGGS",,60.0
1007,"milk, bread, eggs",,60.0
1021,"eggs, cheese, bread",2023/4/3,40.0
1043,"Milk , Bread",2023/4/3,60.0
1057,"milk, , eggs",2023/4/3,
1035,"eggs, cheese, bread",03-04-2023,45.0
1068,,2023/4/3,25.0
1076,"Milk , Bread",,25.0
1092,"milk, bread, eggs",2023/4/3,
1030,,2023-04-05,
1046,"eggs, cheese, bread",2023-04-05,45.0
1054,"milk, , eggs",03-04-2023,40.0
1079,"Milk , Bread",2023/4/3,60.0
1061,bread; butter; milk,,45.0
1029,bread; butter; milk,2023-04-05,40.0
1054,"eggs, cheese, bread",,
1015,,2023-04-05,25.0
1011,bread; butter; milk,03-04-2023,40.0
1016,"milk, , eggs",,25.0
1015,,03-04-2023,
1011,"Milk , Bread",,
1007,"milk, , eggs",2023/4/3,25.0
1083,"MILK, BREAD, EGGS",2023-04-05,
1002,"milk, bread, eggs",03-04-2023,45.0
1015,bread; butter; milk,,40.0
1029,bread; butter; milk,2023-04-05,
1022,"eggs, cheese, bread",2023/4/3,25.0
1091,"milk, , eggs",03-04-2023,
1004,"Milk , Bread",03-04-2023,60.0
1083,"milk, , eggs",03-04-2023,25.0
1064,"milk, , eggs",03-04-2023,
1029,"MILK, BREAD, EGGS",2023-04-05,45.0
1020,"milk, , eggs",2023/4/3,25.0
1083,"MILK, BREAD, EGGS",2023/4/3,40.0
1069,bread; butter; milk,2023-04-05,40.0
1021,,,25.0
1081,"milk, bread, eggs",2023-04-05,
1071,"eggs, cheese, bread",,45.0
1031,"milk, bread, eggs",03-04-2023,60.0
1032,,2023-04-05,
1015,"Milk , Bread",2023-04-05,25.0
1075,"milk, bread, eggs",2023-04-05,
1037,"eggs, cheese, bread",2023-04-05,
1097,"milk, bread, eggs",,40.0
1013,"milk, , eggs",2023-04-05,25.0
1035,,,
1096,"eggs, cheese, bread",03-04-2023,
1022,,,25.0
1065,,2023-04-05,40.0
1084,"milk, , eggs",2023/4/3,45.0
1001,"milk, , eggs",,
1090,"milk, , eggs",,40.0
1072,"Milk , Bread",2023-04-05,25.0
1064,"milk, bread, eggs",2023-04-05,
1074,"MILK, BREAD, EGGS",03-04-2023,
1066,"Milk , Bread",2023/4/3,
1051,"milk, , eggs",2023/4/3,60.0
1061,"milk, , eggs",2023-04-05,
1022,"milk, bread, eggs",2023/4/3,45.0
1025,bread; butter; milk,2023-04-05,40.0
1067,"Milk , Bread",2023/4/3,
1081,,2023/4/3,45.0
1054,"eggs, cheese, bread",2023/4/3,45.0
1005,bread; butter; milk,,60.0
1034,"Milk , Bread",,45.0
1021,"Milk , Bread",03-04-2023,40.0
1042,bread; butter; milk,03-04-2023,40.0
1014,"milk, bread, eggs",2023-04-05,25.0
1085,bread; butter; milk,2023/4/3,
1059,"milk, , eggs",03-04-2023,60.0
1011,"milk, , eggs",2023-04-05,45.0
1048,"MILK, BREAD, EGGS",03-04-2023,
1041,"eggs, cheese, bread",2023/4/3,45.0
1037,bread; butter; milk,,45.0
1081,"milk, , eggs",,25.0
1044,bread; butter; milk,2023/4/3,45.0
1034,,03-04-2023,25.0
1029,"milk, bread, eggs",03-04-2023,45.0
1087,bread; butter; milk,2023-04-05,
1029,bread; butter; milk,2023/4/3,45.0
1077,"Milk , Bread",,60.0
1005,"MILK, BREAD, EGGS",2023/4/3,25.0
1066,"Milk , Bread",,25.0
1079,"MILK, BREAD, EGGS",03-04-2023,40.0
1006,bread; butter; milk,03-04-2023,60.0
1051,"milk, , eggs",2023-04-05,40.0
1013,,03-04-2023,40.0
1072,,,60.0
1014,bread; butter; milk,2023/4/3,25.0
1020,"eggs, cheese, bread",2023-04-05,60.0
1034,"milk, bread, eggs",,60.0
1065,,2023-04-05,60.0
1090,"eggs, cheese, bread",2023/4/3,40.0
1001,"milk, bread, eggs",03-04-2023,40.0
1034,,2023/4/3,25.0
1081,,2023-04-05,60.0
1077,"Milk , Bread",2023-04-05,40.0
1019,"Milk , Bread",03-04-2023,
1081,"eggs, cheese, bread",2023/4/3,45.0
1009,"eggs, cheese, bread",2023-04-05,
1024,"milk, , eggs",2023/4/3,25.0
1065,"milk, bread, eggs",,60.0
1024,"milk, , eggs",2023-04-05,45.0
1053,"milk, bread, eggs",2023/4/3,40.0
1032,,2023-04-05,40.0
1035,"milk, , eggs",,40.0
1094,"milk, bread, eggs",03-04-2023,
1013,"eggs, cheese, bread",2023-04-05,
1064,,,60.0
1079,"MILK, BREAD, EGGS",2023/4/3,60.0
1053,"milk, , eggs",2023-04-05,40.0
1051,"MILK, BREAD, EGGS",2023/4/3,45.0
1002,,2023/4/3,40.0
1098,"milk, , eggs",2023-04-05,
1040,"eggs, cheese, bread",03-04-2023,60.0
1005,"milk, bread, eggs",2023-04-05,25.0
1024,"MILK, BREAD, EGGS",,60.0
1012,bread; butter; milk,2023-04-05,
1097,bread; butter; milk,2023-04-05,60.0
1007,"eggs, cheese, bread",,45.0
1020,"milk, , eggs",2023/4/3,45.0
1097,"Milk , Bread",,40.0
1067,"eggs, cheese, bread",2023-04-05,40.0
1024,"Milk , Bread",2023/4/3,45.0
1078,"MILK, BREAD, EGGS",2023/4/3,25.0
1067,"MILK, BREAD, EGGS",,40.0
1044,"milk, , eggs",2023-04-05,25.0
1059,"eggs, cheese, bread",2023-04-05,45.0
1011,"MILK, BREAD, EGGS",2023/4/3,25.0
1031,"milk, bread, eggs",03-04-2023,45.0
1095,"milk, , eggs",2023/4/3,25.0
1091,"Milk , Bread",,25.0
1012,"MILK, BREAD, EGGS",03-04-2023,25.0
1030,"Milk , Bread",,40.0
1077,"milk, bread, eggs",2023-04-05,25.0
1019,"Milk , Bread",,
1017,"eggs, cheese, bread",2023/4/3,25.0
1092,,2023/4/3,25.0
1059,"eggs, cheese, bread",2023-04-05,25.0
1062,"MILK, BREAD, EGGS",,
1005,,2023/4/3,40.0
1031,"Milk , Bread",2023/4/3,60.0
1092,"eggs, cheese, bread",2023/4/3,60.0
1042,"milk, , eggs",,25.0
1001,"MILK, BREAD, EGGS",03-04-2023,45.0
1059,,2023/4/3,45.0
1022,"milk, bread, eggs",2023/4/3,40.0
1082,"milk, bread, eggs",2023/4/3,25.0
1030,,2023-04-05,25.0
1004,"milk, bread, eggs",2023/4/3,40.0
1082,"milk, , eggs",,
1033,,2023/4/3,40.0
1009,"eggs, cheese, bread",2023-04-05,25.0
1088,"MILK, BREAD, EGGS",,
1001,"MILK, BREAD, EGGS",2023/4/3,25.0
1010,bread; butter; milk,03-04-2023,60.0
1049,bread; butter; milk,03-04-2023,45.0
1030,"milk, bread, eggs",,25.0
1055,"milk, , eggs",03-04-2023,60.0
1078,"eggs, cheese, bread",03-04-2023,60.0
1072,,2023-04-05,25.0
1086,"milk, , eggs",2023/4/3,60.0
1082,,03-04-2023,25.0
1008,,2023/4/3,25.0
1098,,2023-04-05,25.0
1020,bread; butter; milk,2023/4/3,25.0
1072,"milk, , eggs",03-04-2023,60.0
1027,"milk, , eggs",2023-04-05,40.0
1061,"milk, , eggs",,40.0
1006,"Milk , Bread",2023/4/3,
1079,"MILK, BREAD, EGGS",2023/4/3,
1015,bread; butter; milk,2023/4/3,
1096,,2023/4/3,60.0
1003,"milk, , eggs",2023/4/3,45.0
1003,,2023/4/3,60.0
1039,"Milk , Bread",2023-04-05,
1016,"MILK, BREAD, EGGS",2023-04-05,
1051,,2023-04-05,25.0
1092,bread; butter; milk,2023/4/3,25.0
1051,"milk, bread, eggs",,25.0
1035,"eggs, cheese, bread",,40.0
1037,"MILK, BREAD, EGGS",2023-04-05,40.0
1049,"eggs, cheese, bread",2023-04-05,
1062,"MILK, BREAD, EGGS",03-04-2023,
1062,"milk, , eggs",,45.0
1061,"milk, , eggs",03-04-2023,
1098,"milk, bread, eggs",2023-04-05,40.0
1006,,03-04-2023,60.0
1026,"milk, bread, eggs",03-04-2023,
1091,"milk, , eggs",,25.0
1085,,2023-04-05,
1013,"MILK, BREAD, EGGS",2023/4/3,45.0
1070,"eggs, cheese, bread",2023-04-05,25.0
1085,,03-04-2023,45.0
1004,"eggs, cheese, bread",03-04-2023,45.0
1054,"Milk , Bread",2023-04-05,45.0
1001,"milk, bread, eggs",2023-04-05,45.0
1061,"milk, , eggs",03-04-2023,45.0
1090,"MILK, BREAD, EGGS",03-04-2023,40.0
1020,"milk, bread, eggs",03-04-2023,40.0
1078,"MILK, BREAD, EGGS",2023/4/3,60.0
1020,"milk, , eggs",03-04-2023,45.0
1009,"milk, , eggs",2023/4/3,60.0
1086,"MILK, BREAD, EGGS",2023/4/3,
1057,"MILK, BREAD, EGGS",,25.0
1038,,2023/4/3,45.0
1004,bread; butter; milk,,
1064,bread; butter; milk,2023/4/3,
1012,"Milk , Bread",03-04-2023,45.0
1084,bread; butter; milk,2023-04-05,45.0
1089,bread; butter; milk,,
1084,bread; butter; milk,,60.0
1052,"milk, , eggs",,25.0
1081,"MILK, BREAD, EGGS",2023/4/3,
1044,"milk, , eggs",03-04-2023,45.0
1031,"milk, bread, eggs",2023/4/3,25.0
1035,"MILK, BREAD, EGGS",03-04-2023,
1080,"eggs, cheese, bread",03-04-2023,60.0
1098,"milk, bread, eggs",2023/4/3,25.0
1059,"milk, , eggs",03-04-2023,45.0
1010,"eggs, cheese, bread",03-04-2023,25.0
1062,"MILK, BREAD, EGGS",2023/4/3,25.0
1020,"milk, bread, eggs",2023-04-05,40.0
1051,"Milk , Bread",,25.0
1054,"eggs, cheese, bread",2023-04-05,
1025,"Milk , Bread",,45.0
1067,"milk, , eggs",,60.0
1033,"Milk , Bread",,45.0
1051,bread; butter; milk,,
1081,"MILK, BREAD, EGGS",2023/4/3,25.0
1098,"milk, , eggs",,
1092,"eggs, cheese, bread",2023-04-05,60.0
1051,"milk, bread, eggs",2023-04-05,40.0
1028,"milk, bread, eggs",2023-04-05,45.0
1037,,2023-04-05,45.0
1041,"MILK, BREAD, EGGS",2023-04-05,60.0
1020,"MILK, BREAD, EGGS",,
1041,,03-04-2023,
1012,,2023/4/3,45.0
1063,"milk, bread, eggs",03-04-2023,60.0
1016,,03-04-2023,
1008,,2023-04-05,40.0
1040,"milk, , eggs",2023-04-05,25.0
1000,"milk, , eggs",,60.0
1001,"Milk , Bread",,
1059,bread; butter; milk,,
1047,"Milk , Bread",03-04-2023,45.0
1028,"milk, bread, eggs",03-04-2023,45.0
1096,"eggs, cheese, bread",2023-04-05,40.0
1009,"milk, bread, eggs",,
1057,,2023-04-05,25.0
1059,"milk, bread, eggs",2023/4/3,25.0
1020,,03-04-2023,25.0
1027,"eggs, cheese, bread",2023/4/3,25.0
1074,"eggs, cheese, bread",2023/4/3,60.0
1033,"MILK, BREAD, EGGS",,40.0
1007,"MILK, BREAD, EGGS",,40.0
1058,,03-04-2023,60.0
1085,"milk, , eggs",2023/4/3,60.0
1071,bread; butter; milk,2023/4/3,40.0
1048,"eggs, cheese, bread",2023-04-05,60.0
1078,"milk, bread, eggs",2023-04-05,45.0
1016,"Milk , Bread",2023/4/3,60.0
1059,"milk, bread, eggs",2023/4/3,45.0
1086,"Milk , Bread",03-04-2023,40.0
1087,"milk, , eggs",,
1044,"MILK, BREAD, EGGS",03-04-2023,60.0
1082,"eggs, cheese, bread",03-04-2023,
1068,,2023-04-05,
1031,"eggs, cheese, bread",2023-04-05,60.0
1043,"Milk , Bread",2023/4/3,25.0
1064,"MILK, BREAD, EGGS",2023-04-05,25.0
1086,"MILK, BREAD, EGGS",2023/4/3,45.0
1007,bread; butter; milk,2023/4/3,25.0
1076,bread; butter; milk,2023/4/3,40.0
1071,"Milk , Bread",2023/4/3,45.0
1086,bread; butter; milk,2023/4/3,40.0
1042,bread; butter; milk,2023/4/3,60.0
1000,"eggs, cheese, bread",2023/4/3,45.0
1050,"MILK, BREAD, EGGS",03-04-2023,40.0
1023,bread; butter; milk,,60.0
1098,"Milk , Bread",2023-04-05,25.0
1023,"milk, , eggs",2023/4/3,45.0
1016,bread; butter; milk,03-04-2023,60.0
1004,,2023/4/3,
1019,"Milk , Bread",2023/4/3,45.0
1020,"milk, , eggs",03-04-2023,45.0
1057,"eggs, cheese, bread",,60.0
1030,"eggs, cheese, bread",2023-04-05,60.0
1099,,,
1010,bread; butter; milk,,
1051,"Milk , Bread",03-04-2023,40.0
1014,bread; butter; milk,2023/4/3,40.0
1082,"MILK, BREAD, EGGS",,25.0
1006,"milk, , eggs",2023-04-05,
1027,,03-04-2023,60.0
1050,,2023-04-05,40.0
1057,bread; butter; milk,2023-04-05,60.0
1004,"Milk , Bread",2023-04-05,
1004,"milk, bread, eggs",2023/4/3,
1093,"Milk , Bread",03-04-2023,25.0
1095,"Milk , Bread",03-04-2023,
1007,"milk, bread, eggs",2023-04-05,60.0
1063,bread; butter; milk,03-04-2023,25.0
1009,bread; butter; milk,03-04-2023,45.0
1037,,2023/4/3,25.0
1095,"milk, bread, eggs",2023-04-05,
1091,"MILK, BREAD, EGGS",2023/4/3,25.0
1080,bread; butter; milk,,60.0
1094,,,45.0
1007,"Milk , Bread",2023/4/3,25.0
1024,"MILK, BREAD, EGGS",2023-04-05,45.0
1072,bread; butter; milk,,
1065,"milk, , eggs",,
1078,"milk, , eggs",2023/4/3,25.0
1049,"milk, bread, eggs",03-04-2023,25.0
1066,,03-04-2023,45.0
1048,"milk, bread, eggs",03-04-2023,45.0
1035,"milk, , eggs",,
1067,"milk, bread, eggs",2023/4/3,25.0
1077,"MILK, BREAD, EGGS",2023-04-05,25.0
1040,"milk, , eggs",2023-04-05,60.0
1088,"Milk , Bread",2023/4/3,45.0
1061,"milk, bread, eggs",,45.0
1009,,2023-04-05,40.0
1020,"milk, , eggs",2023-04-05,60.0
1035,"eggs, cheese, bread",03-04-2023,45.0
1011,bread; butter; milk,2023/4/3,
1090,"MILK, BREAD, EGGS",2023/4/3,45.0
1001,"milk, bread, eggs",2023/4/3,
1012,"Milk , Bread",2023-04-05,60.0
1052,"milk, , eggs",,
1031,bread; butter; milk,2023-04-05,
1094,"eggs, cheese, bread",03-04-2023,
1015,"milk, bread, eggs",,45.0
1031,,2023/4/3,60.0
1031,bread; butter; milk,2023/4/3,25.0
1097,bread; butter; milk,2023/4/3,25.0
1010,"eggs, cheese, bread",2023/4/3,25.0
1009,"eggs, cheese, bread",2023-04-05,45.0
1014,"Milk , Bread",03-04-2023,25.0
1016,"Milk , Bread",03-04-2023,60.0
1039,"Milk , Bread",03-04-2023,
1017,"milk, , eggs",,40.0
1054,,,40.0
1072,"eggs, cheese, bread",03-04-2023,25.0
1024,,2023-04-05,40.0
1058,,,45.0
1077,,03-04-2023,40.0
1088,,2023/4/3,60.0
1021,"MILK, BREAD, EGGS",,60.0
1029,,2023/4/3,
1083,"eggs, cheese, bread",,60.0
1084,"milk, bread, eggs",2023-04-05,40.0
1043,"MILK, BREAD, EGGS",2023/4/3,60.0
